,id,full_name,language,#commitsBeforeFollowUp,#DevsBeforeFollowUp,SQ/NonSQ,#commitsDuringFollowUp,age_in_ASF,n_closed_issues_start,start_mean_velocity,start_median_velocity,open_issues_at_start,n_created_issues_start,n_closed_issues_end,end_mean,end_median,open_issues_at_end,difference_of_means,difference_of_medians,n_created_issues_end,root_project
924,107435818,apache/sling-org-apache-sling-junit-core,Java,164,19,SQ,28,3587 days 18:36:54,3,10 days 00:40:18.666666666,9 days 19:42:15,1,3,0,NaT,NaT,0,NaT,NaT,0,sling
925,107435869,apache/sling-org-apache-sling-testing-rules,Java,71,10,SQ,6,1617 days 05:54:59,0,NaT,NaT,0,0,3,8 days 02:48:52.333333333,0 days 08:13:26,0,NaT,NaT,3,sling
926,107435897,apache/sling-org-apache-sling-testing-caconfig-mock-plugin,Java,47,6,SQ,23,1341 days 11:27:52,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
927,107435906,apache/sling-org-apache-sling-testing-jcr-mock,Java,115,11,SQ,25,2142 days 06:47:27,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
928,107435933,apache/sling-org-apache-sling-testing-osgi-mock,Java,249,13,SQ,80,2191 days 19:34:02,0,NaT,NaT,0,0,2,4 days 14:16:40.500000,4 days 14:16:40.500000,1,NaT,NaT,2,sling
929,107435948,apache/sling-org-apache-sling-testing-resourceresolver-mock,Java,95,8,SQ,42,2142 days 06:47:34,0,NaT,NaT,0,1,1,38 days 01:58:48,38 days 01:58:48,0,NaT,NaT,1,sling
930,107435963,apache/sling-org-apache-sling-testing-sling-mock-oak,Java,118,11,SQ,43,1916 days 09:37:46,0,NaT,NaT,0,0,1,0 days 00:14:17,0 days 00:14:17,0,NaT,NaT,1,sling
931,107435982,apache/sling-org-apache-sling-testing-sling-mock,Java,443,13,SQ,99,2261 days 18:32:03,1,59 days 19:14:08,59 days 19:14:08,1,1,6,68 days 13:58:11.833333333,4 days 01:31:58,2,8 days 18:44:03.833333333,-56 days +06:17:50,4,sling
932,107435998,apache/sling-org-apache-sling-testing-paxexam,Java,208,8,SQ,35,1616 days 06:26:37,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
933,107436030,apache/sling-org-apache-sling-paxexam-util,Java,39,8,SQ,4,2404 days 10:33:01,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,sling
934,107436076,apache/sling-adapter-annotations,Java,26,7,NonSQ,5,2671 days 19:10:51,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
935,107436087,apache/sling-apache-sling-jar-resource-bundle,,19,6,NonSQ,3,2588 days 03:04:22,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
936,107436176,apache/sling-archetype-parent,,53,6,NonSQ,7,2308 days 08:19:35,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
937,107436192,apache/sling-servlet-archetype,Java,34,7,NonSQ,5,2588 days 03:07:06,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,sling
938,107436247,apache/sling-htl-maven-plugin,Java,109,7,SQ,10,1481 days 08:52:00,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
939,107436269,apache/sling-jspc-maven-plugin,Java,52,9,SQ,20,2639 days 16:31:53,1,0 days 17:40:13,0 days 17:40:13,0,1,0,NaT,NaT,0,NaT,NaT,0,sling
940,107436286,apache/sling-maven-launchpad-plugin,Java,50,8,NonSQ,4,2588 days 03:04:25,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,1,sling
941,107436306,apache/sling-maven-plugin,Java,158,8,SQ,36,2710 days 18:52:06,0,NaT,NaT,0,2,12,54 days 04:58:15.333333333,0 days 00:46:51.500000,2,NaT,NaT,11,sling
942,107436316,apache/sling-slingstart-maven-plugin,Java,289,12,SQ,7,2204 days 00:04:39,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
943,107436329,apache/sling-launchpad-comparator,Java,22,5,SQ,3,1777 days 00:31:21,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,0,sling
944,107436335,apache/sling-org-apache-sling-tooling-support-install,Java,33,8,SQ,12,2566 days 14:52:21,0,NaT,NaT,0,0,3,51 days 15:41:26.666666666,3 days 18:29:50,1,NaT,NaT,2,sling
945,107436366,apache/sling-org-apache-sling-tooling-support-source,Java,26,8,SQ,9,1650 days 07:41:01,0,NaT,NaT,0,0,2,70 days 16:00:22,70 days 16:00:22,1,NaT,NaT,1,sling
946,107436380,apache/sling-ide-tooling,Java,824,8,NonSQ,10,2587 days 08:14:59,0,NaT,NaT,1,0,4,13 days 14:59:13.750000,10 days 20:29:53,1,NaT,NaT,7,sling
947,107436391,apache/sling-samples,Java,448,15,SQ,9,4560 days 19:03:29,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,6,sling
948,107436409,apache/sling-org-apache-sling-performance,Java,76,9,SQ,6,2919 days 01:05:48,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,sling
949,107436445,apache/sling-tooling-jenkins,Groovy,364,11,NonSQ,25,1529 days 09:07:50,2,3 days 23:47:53,3 days 23:47:53,0,2,5,3 days 07:06:38.600000,2 days 15:39:15,0,-1 days +07:18:45.600000,-2 days +15:51:22,5,sling
950,107454122,apache/directory-project,Shell,2569,14,NonSQ,22,5609 days 18:58:00,0,NaT,NaT,11,0,1,0 days 04:24:01,0 days 04:24:01,11,NaT,NaT,2,directory
